Lig	Rec	LigRec	pathway	evidence
SST	SSTR5	SST_SSTR5	SEMATOSTATIN	KEGG: hsa04080;7908405;8769372,9784130,8769372,9650799,10598788,9600011,15333679,7988476,11520208,9724791,9652348,7908405
CORT	SSTR1	CORT_SSTR1	SEMATOSTATIN	KEGG: hsa04080;9650799;11011067,9650799,10598788,15333679,9205124,9125122
CORT	SSTR2	CORT_SSTR2	SEMATOSTATIN	KEGG: hsa04080;10598788;9125122,9650799,10598788,15333679
CORT	SSTR3	CORT_SSTR3	SEMATOSTATIN	KEGG: hsa04080;10598788;9125122,9650799,10598788,15333679,9205124
CORT	SSTR4	CORT_SSTR4	SEMATOSTATIN	KEGG: hsa04080;10598788;11011067,9650799,10598788,9125122,9205124
CORT	SSTR5	CORT_SSTR5	SEMATOSTATIN	KEGG: hsa04080;9125122;11011067,9650799,10598788,15333679,9205124,9125122
TAC1	TACR1	TAC1_TACR1	TAC	KEGG: hsa04080;7557266;7557266,12548712,11786503,8985159,1311270,9190866,8702757,15265501,12548712
TAC4	TACR1	TAC4_TACR1	TAC	KEGG: hsa04080;11786503;11062498,15224188,11786503
TAC1	TACR2	TAC1_TACR2	TAC	KEGG: hsa04080;12954451;12954451,7961636,11786503,9190866,7682062,11137709,7961636,10189055
TAC3	TACR3	TAC2_TACR3	TAC	KEGG: hsa04080
UTS2	UTS2R	UTS2_UTS2R	UTS2	KEGG: hsa04080;10499587,17931747;10499587,15109617,11976263,12238917,15852036,10581185
AVP	AVPR2	AVP_AVPR2	AVP	KEGG: hsa04080;9884074;11857925,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,7774575,11012895
AVP	AVPR1A	AVP_AVPR1A	AVP	KEGG: hsa04080;1560825;1560825,8106369,8106369,9884074,9334232,10780976,9322919,12446593,9459574,15084136,9264324,10866830,9864265,10519430
AVP	AVPR1B	AVP_AVPR1B	AVP	KEGG: hsa04080;7929452;7929452,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,16158071
PRLH	PRLHR	PRLH_PRLHR	PRLH	KEGG: hsa04080;11030716;11030716,12606605,9607765,11030716,10475064
PRSS3	F2R	PRSS3_F2R	PARs	KEGG: hsa04080
CTSG	F2R	CTSG_F2R	PARs	KEGG: hsa04080
F2	F2R	F2_F2R	PARs	KEGG: hsa04080;10978167;11356985,10644723,12563219,9058715,10978167
PLG	F2R	PLG_F2R	PARs	KEGG: hsa04080;10978167
GZMA	F2R	GZMA_F2R	PARs	KEGG: hsa04080
PRSS2	F2R	PRSS2_F2R	PARs	KEGG: hsa04080
PRSS1	F2R	PRSS1_F2R	PARs	KEGG: hsa04080
PRSS3	F2RL1	PRSS3_F2RL1	PARs	KEGG: hsa04080
CTSG	F2RL1	CTSG_F2RL1	PARs	KEGG: hsa04080
F2	F2RL1	F2_F2RL1	PARs	KEGG: hsa04080;11356985;11356985,11
PLG	F2RL1	PLG_F2RL1	PARs	KEGG: hsa04080;12604689;12604689,10978167,9020112
GZMA	F2RL1	GZMA_F2RL1	PARs	KEGG: hsa04080
PRSS2	F2RL1	PRSS2_F2RL1	PARs	KEGG: hsa04080
PRSS1	F2RL1	PRSS1_F2RL1	PARs	KEGG: hsa04080
PRSS3	F2RL2	PRSS3_F2RL2	PARs	KEGG: hsa04080
CTSG	F2RL2	CTSG_F2RL2	PARs	KEGG: hsa04080
F2	F2RL2	F2_F2RL2	PARs	KEGG: hsa04080;11356985;11356985,13
PLG	F2RL2	PLG_F2RL2	PARs	KEGG: hsa04080
GZMA	F2RL2	GZMA_F2RL2	PARs	KEGG: hsa04080
PRSS2	F2RL2	PRSS2_F2RL2	PARs	KEGG: hsa04080
PRSS1	F2RL2	PRSS1_F2RL2	PARs	KEGG: hsa04080
PRSS3	F2RL3	PRSS3_F2RL3	PARs	KEGG: hsa04080
CTSG	F2RL3	CTSG_F2RL3	PARs	KEGG: hsa04080
F2	F2RL3	F2_F2RL3	PARs	KEGG: hsa04080;12732212
GZMA	F2RL3	GZMA_F2RL3	PARs	KEGG: hsa04080
PLG	F2RL3	PLG_F2RL3	PARs	KEGG: hsa04080
PRSS2	F2RL3	PRSS2_F2RL3	PARs	KEGG: hsa04080
PRSS1	F2RL3	PRSS1_F2RL3	PARs	KEGG: hsa04080
PMCH	MCHR1	PMCH_MCHR1	PMCH	KEGG: hsa04080;10421368;10421368,10421367,11375253,11478907,11839762
PROK1	PROKR2	PROK1_PROKR2	PROK	PMID: 24496457;12054613;11886876,12054613,15772293
PROK1	PROKR1	PROK1_PROKR1	PROK	PMID: 24496457;11886876;11886876,12054613,15772293
PROK2	PROKR1	PROK2_PROKR1	PROK	PMID: 24496457;12054613;12054613,16
PROK2	PROKR2	PROK2_PROKR2	PROK	PMID: 24496457;15772293;12024206,12054613,15772293
ADCYAP1	ADCYAP1R1	ADCYAP1_ADCYAP1R1	PACAP	PMID: 21350482;10100920;10100920,8703026,10583729,16930633,11931347,8253796
VIP	VIPR1	VIP_VIPR1	VIP	PMID: 10655512;11027527;11027527,8791009,8074647,16930633,9928018,9437714,10801840,10570056,8390245,11931347,9726637,9152366,9454823,15247290,807467,11027527
VIP	VIPR2	VIP_VIPR2	VIP	KEGG: hsa04080;16930633;12220741,16930633,10801840,9454823,9928018,10570056,11931347,9437714,9152366,9726637,8146174
NPPA	NPR1	NPPA_NPR1	NPR1	KEGG: hsa04080; PMID: 29934640;12547834,29859763;15911069,8700153,12547834
NPPB	NPR1	NPPB_NPR1	NPR1	KEGG: hsa04080; PMID: 29934641;8700153,29859763;8700153,7901875,1309330
NPPC	NPR2	NPPC_NPR2	NPR2	KEGG: hsa04080; PMID: 29934642;11952095;11952095,1309330,12709393
KITLG	KIT	KITL_KIT	KIT	KEGG: hsa04080
GCG	GIPR	GCG_GIPR	GIPR	KEGG: hsa04080
GIP	GIPR	GIP_GIPR	GIPR	KEGG: hsa04080;15655705;15655707,7589426,8795084,12627975,7589426
FSHB	FSHR	FSHB_FSHR	FSH	KEGG: hsa04080;2126341;2126341,104
CGA	FSHR	CGA_FSHR	FSH	KEGG: hsa04080;30910395;
LHB	LHCGR	LHB_LHCGR	LHB	KEGG: hsa04080;1922095;3470775,12727981,1922095
CGA	LHCGR	CGA_LHCGR	LHB	KEGG: hsa04080;1922095;10342833,12727981,1922095
TSHB	TSHR	TSHB_TSHR	TSH	KEGG: hsa04080;15571461;15571461,26
CGA	TSHR	CGA_TSHR	TSH	KEGG: hsa04080;26198319,32196115;
BDNF	NTRK2	BDNF_NTRK2	NT	PMID: 27908981;uniprot;7644540;7644540,931
NGF	NTRK1	NGF_NTRK1	NT	PMID: 27908981;uniprot;10490030;10490030,15
FLT3LG	FLT3	FLT3L_FLT3	FLT3	PMID: 25992210
HGF	MET	HGF_MET	HGF	PMID: 28475121;uniprot;1846706;1846706,1655405,15167892,18495663
KLK3	NTRK1	KLK3_NTRK1	NT	PMID: 27908981
NTF3	NTRK1	NTF3_NTRK1	NT	PMID: 27908981;uniprot;17439940
NTF3	NTRK2	NTF3_NTRK2	NT	PMID: 27908981;uniprot;8621424
NTF3	NTRK3	NTF3_NTRK3	NT	PMID: 27908981;uniprot;7679912;7679912,9488719,9973222
NTF4	NTRK2	NTF5_NTRK2	NT	PMID: 27908981
SEMA3A	NRP1	SEMA3A_NRP1	SEMA3	PMID: 27533782;PMID: 22325954;uniprot;10520994;10520994,10934324),15721238,9331348
SEMA3A	PLXNA1	SEMA3A_PLXNA1	SEMA3	PMID: 27533782;PMID: 22325954;10520994
SEMA3A	PLXNA2	SEMA3A_PLXNA2	SEMA3	PMID: 27533782;PMID: 22325954;10934324
SEMA3A	PLXNA3	SEMA3A_PLXNA3	SEMA3	PMID: 27533782;PMID: 22325954;32196115;
SEMA3A	PLXNA4	SEMA3A_PLXNA4	SEMA3	PMID: 27533782;PMID: 22325954;15721238
SEMA3B	NRP1	SEMA3B_NRP1	SEMA3	PMID: 27533782;10196546
SEMA3B	PLXNA1	SEMA3B_PLXNA1	SEMA3	PMID: 27533782
SEMA3B	PLXNA2	SEMA3B_PLXNA2	SEMA3	PMID: 27533782
SEMA3B	PLXNA3	SEMA3B_PLXNA3	SEMA3	PMID: 27533782
SEMA3B	PLXNA4	SEMA3B_PLXNA4	SEMA3	PMID: 27533782
SEMA3C	NRP1	SEMA3C_NRP1	SEMA3	PMID: 27533782;9331348
SEMA3C	PLXNA1	SEMA3C_PLXNA1	SEMA3	PMID: 27533782
SEMA3C	PLXNA2	SEMA3C_PLXNA2	SEMA3	PMID: 27533782
SEMA3C	PLXNA3	SEMA3C_PLXNA3	SEMA3	PMID: 27533782
SEMA3C	PLXNA4	SEMA3C_PLXNA4	SEMA3	PMID: 27533782
SEMA3D	NRP1	SEMA3D_NRP1	SEMA3	PMID: 27533782;15456815
SEMA3D	PLXNA1	SEMA3D_PLXNA1	SEMA3	PMID: 27533782
SEMA3D	PLXNA2	SEMA3D_PLXNA2	SEMA3	PMID: 27533782
SEMA3D	PLXNA3	SEMA3D_PLXNA3	SEMA3	PMID: 27533782
SEMA3D	PLXNA4	SEMA3D_PLXNA4	SEMA3	PMID: 27533782
SEMA3B	NRP2	SEMA3B_NRP2	SEMA3	PMID: 27533782;10196546
SEMA3C	NRP2	SEMA3C_NRP2	SEMA3	PMID: 27533782;uniprot;10196546;10196546,93
SEMA3D	NRP2	SEMA3D_NRP2	SEMA3	PMID: 27533782
SEMA3F	NRP2	SEMA3F_NRP2	SEMA3	PMID: 27533782;uniprot;15721238;15721238,99
SEMA3F	PLXNA1	SEMA3F_PLXNA1	SEMA3	PMID: 27533782;26156437;
SEMA3F	PLXNA2	SEMA3F_PLXNA2	SEMA3	PMID: 27533782
SEMA3F	PLXNA3	SEMA3F_PLXNA3	SEMA3	PMID: 27533782;15721238
SEMA3F	PLXNA4	SEMA3F_PLXNA4	SEMA3	PMID: 27533782
SEMA3G	NRP2	SEMA3G_NRP2	SEMA3	PMID: 27533782;19887479
SEMA3G	PLXNA1	SEMA3G_PLXNA1	SEMA3	PMID: 27533782
SEMA3G	PLXNA2	SEMA3G_PLXNA2	SEMA3	PMID: 27533782
SEMA3G	PLXNA3	SEMA3G_PLXNA3	SEMA3	PMID: 27533782
SEMA3G	PLXNA4	SEMA3G_PLXNA4	SEMA3	PMID: 27533782
SEMA3C	PLXND1	SEMA3C_PLXND1	SEMA3	PMID: 27533782;15239958
SEMA3E	PLXND1	SEMA3E_PLXND1	SEMA3	PMID: 22325954;22325954;15550623
ADM	CALCR	ADM_CALCR	CALCR	KEGG: hsa04080;10781016;15692146,13
ADM	CALCRL	ADM_CALCRL	CALCR	KEGG: hsa04080;9620797
AGT	MAS1	AGT_MAS1	AGT	KEGG: hsa04080;26198319,32196115;12829792
ANXA1	FPR2	ANXA1_FPR2	ANNEXIN,ANXA1	PMID: 23230437;PMID: 22610094;22610094;12368905,10882119,12560218,16278303
ANXA1	FPR1	ANXA1_FPR1	ANNEXIN	PMID: 23230437;10882119;10882119,13
APELA	APLNR	APELA_APLNR	APJ	PMID: 25995451;28663440
CALCA	CALCR	CALCA_CALCR	CALCR	KEGG: hsa04080;2158663;2158663,15692146,11023820,9487987,14722252,7588285,12565884,10342886,11033437
CALCA	CALCRL	CALCA_CALCRL	CALCR	KEGG: hsa04080;9620797;9620797,8626685,14668209,3001670,12234182
CALCB	CALCR	CALCB_CALCR	CALCR	KEGG: hsa04080;15692146
CALCB	CALCRL	CALCB_CALCRL	CALCR	KEGG: hsa04080;12196113
CRH	CRHR1	CRH_CRHR1	CRH	KEGG: hsa04080;11123370;8536644,7692441,9326293,9851694,11123370,8612563,7477349,9178757
CRH	CRHR2	CRH_CRHR2	CRH	KEGG: hsa04080;11123370;8536644,11123370,8243338
ENHO	GPR19	ENHO_GPR19	ENHO	PMID: 28476646
GAS6	AXL	GAS6_AXL	GAS	PMID: 27801848;7854420;7854420,8939948,8621659,16362042
GAS6	MERTK	GAS6_MERTK	GAS	PMID: 27801848;9160883;9160883,894
GAS6	TYRO3	GAS6_TYRO3	GAS	PMID: 27801848;7867073;7867073,8939948,8621659,8939948
GCG	GCGR	GCG_GCGR	GCG	KEGG: hsa04080;12529935;12529935,4305077,8382034
GCG	GLP1R	GCG_GLP1R	GCG	KEGG: hsa04080;11116211;8404634,7937318,15528268,8404634,11116211
GCG	GLP2R	GCG_GLP2R	GCG	KEGG: hsa04080;9990065;9990065,117
GH1	GHR	GH_GHR	GH	PMID: 10551877
GH1	PRLR	GH_PRLR	GH	PMID: 23192981
GHRH	VIPR1	GHRH_VIPR1	GHRH	PMID: 10655511;8791009
GHRH	VIPR2	GHRH_VIPR2	GHRH	PMID: 10655511
GHRH	GHSR	GHRH_GHSR	GHRH	PMID: 19088192
GHRH	GHRHR	GHRH_GHRHR	GHRH	PMID: 26917260;7680413;7680413,133
GNRH1	GNRHR	GNRH1_GNRHR	GNRH	PMID: 19640273;17452338;414473,17452338,11726197,17095587,9414473
GRN	SORT1	GRN_SORT1	GRN	PMID: 29555433;23706646
GUCA2A	GUCY2C	GUCA2A_GUCY2C	GUCA	PMID: 22384056;10845107;10845107,10601865,11889121
GUCA2B	GUCY2C	GUCA2B_GUCY2C	GUCA	PMID: 22384056;10845107
IAPP	CALCR	IAPP_CALCR	CALCR	KEGG: hsa04080;10342886;12529937,9487987,10342886
IAPP	CALCRL	IAPP_CALCRL	CALCR	KEGG: hsa04080
INSL3	RXFP2	INSL3_RXFP2	RLN	KEGG: hsa04080;12114498;12114498,15649866,20560146,15649866
INSL3	RXFP1	INSL3_RXFP1	RLN	KEGG: hsa04080;32103204
INSL3	RXFP4	INSL3_RXFP4	RLN	KEGG: hsa04080
INSL3	RXFP3	INSL3_RXFP3	RLN	KEGG: hsa04080
INSL5	RXFP4	INSL5_RXFP4	RLN	KEGG: hsa04080;15465925;15465925,16
INSL5	RXFP3	INSL5_RXFP3	RLN	KEGG: hsa04080;15525639
INSL5	RXFP2	INSL5_RXFP2	RLN	KEGG: hsa04080
INSL5	RXFP1	INSL5_RXFP1	RLN	KEGG: hsa04080
LEP	LEPR	LEP_LEPR	LEP	KEGG: hsa04080;uniprot;9463481;9463481,861
NPS	NPSR1	NPS_NPSR1	NPS	PMID: 19732772;15312648
NPVF	NPFFR1	NPVF_NPFFR1	NPVF	PMID: 29106375;11024015;11024015,12242085,12421602,17337079
NPVF	NPFFR2	NPVF_NPFFR2	NPVF	PMID: 29106375;12242085;12242085,12
OSTN	NPR3	OSTN_NPR3	OSTN	PMID: 29326144;17951249
PMCH	MERTK	PMCH_MERTK	PMCH	PMID: 30501104
PROS1	AXL	PROS1_AXL	PROS	PMID: 29531161;7867073
PROS1	TYRO3	PROS1_TYRO3	PROS	PMID: 30501104;7867073;7867073,864
PSAP	GPR37L1	PSAP_GPR37L1	PSAP	PMID: 23690594;23690594
PSAP	GPR37	PSAP_GPR37	PSAP	PMID: 23690594;23690594
PTH	PTH1R	PTH_PTH1R	PTH	KEGG: hsa04080;12947048;12947048,91
PTH	PTH2R	PTH_PTH2R	PTH	KEGG: hsa04080;7797535;7797535,948
PTH2	PTH1R	PTH2_PTH1R	PTH	KEGG: hsa04080;11159842;11159842,11
PTH2	PTH2R	PTH2_PTH2R	PTH	KEGG: hsa04080;11861531;11861531,10854439,11602681
PTHLH	PTH1R	PTHLH_PTH1R	PTH	PMID: 29577935;9108031;2558877,8702701,9108031
QRFP	QRFPR	QRFP_QRFPR	QRFP	PMID: 25386115;12714592;12714592,16500002,23396314,12714592
RARRES2	GPR1	RARRES2_GPR1	CHEMERIN	PMID: 24671882;18165312;18165312,23
RARRES2	CMKLR1	RARRES2_CMKLR1	CHEMERIN	PMID: 24671882;14675762;14675762,18165312,14530373,14701797,23396314
RLN1	RXFP2	RLN1_RXFP2	RLN	KEGG: hsa04080;11809971;11809971,16
RLN1	RXFP1	RLN1_RXFP1	RLN	KEGG: hsa04080;11809971;11809971,16
RLN1	RXFP3	RLN1_RXFP3	RLN	KEGG: hsa04080
RLN1	RXFP4	RLN1_RXFP4	RLN	KEGG: hsa04080
RLN3	RXFP3	RLN3_RXFP3	RLN	KEGG: hsa04080;27245781
RLN3	RXFP1	RLN3_RXFP1	RLN	KEGG: hsa04080;12506116;12506116,15649866,14522968
RLN3	RXFP4	RLN3_RXFP4	RLN	KEGG: hsa04080;14522967
RLN3	RXFP2	RLN3_RXFP2	RLN	KEGG: hsa04080;16411781
SAA1	FPR2	SAA1_FPR2	SAA	PMID: 22610094;9892621
SCGB3A2	MARCO	SCGB3A2_MARCO	UGRP1	PMID: 12847263;12847263
SCT	SCTR	SCT_SCTR	SCT	KEGG: hsa04080;7782300;7782300,7612008,8579602,9440501,7782300
SLURP1	CHRNB1	SLURP1_CHRNB1	SLURP	KEGG: hsa04080
SLURP1	CHRNB2	SLURP1_CHRNB2	SLURP	KEGG: hsa04080
SLURP1	CHRNB3	SLURP1_CHRNB3	SLURP	KEGG: hsa04080
SLURP1	CHRNB4	SLURP1_CHRNB4	SLURP	KEGG: hsa04080
SLURP1	CHRNA1	SLURP1_CHRNA1	SLURP	KEGG: hsa04080
SLURP1	CHRNA2	SLURP1_CHRNA2	SLURP	KEGG: hsa04080
SLURP1	CHRNA3	SLURP1_CHRNA3	SLURP	KEGG: hsa04080
SLURP1	CHRNA4	SLURP1_CHRNA4	SLURP	KEGG: hsa04080
SLURP1	CHRNA5	SLURP1_CHRNA5	SLURP	KEGG: hsa04080
SLURP1	CHRNA6	SLURP1_CHRNA6	SLURP	KEGG: hsa04080
SLURP1	CHRNA9	SLURP1_CHRNA9	SLURP	KEGG: hsa04080
SLURP1	CHRNA10	SLURP1_CHRNA10	SLURP	KEGG: hsa04080
SLURP1	CHRND	SLURP1_CHRND	SLURP	KEGG: hsa04080
SLURP1	CHRNE	SLURP1_CHRNE	SLURP	KEGG: hsa04080
SLURP1	CHRNG	SLURP1_CHRNG	SLURP	KEGG: hsa04080
SLURP1	CHRNA7	SLURP1_CHRNA7	SLURP	KEGG: hsa04080; PMID: 29545933;;29545933
BTLA	TNFRSF14	BTLA_TNFRSF14	BTLA	PMID: 21941365;22437870
TRH	TRHR	TRH_TRHR	TRH	KEGG: hsa04080;9794253;2175902,15117874,9794253
UCN	CRHR1	UCN_CRHR1	UCN	KEGG: hsa04080;11416224;11416224,15450949,11123370,8612563,8612563,9423932
UCN	CRHR2	UCN_CRHR2	UCN	KEGG: hsa04080;15450949;10816663,15450949,11123370,8612563,9423932,11416224
UCN2	CRHR1	UCN2_CRHR1	UCN	KEGG: hsa04080;15450949
UCN2	CRHR2	UCN2_CRHR2	UCN	KEGG: hsa04080;11329063;11329063,15450949,11416224,11226328
UCN3	CRHR1	UCN3_CRHR1	UCN	KEGG: hsa04080;11416224
UCN3	CRHR2	UCN3_CRHR2	UCN	KEGG: hsa04080;11329063;11329063,15450949,11416224
UTS2B	UTS2R	UTS2B_UTS2R	UROTENSIN	PMID: 31556942;14550283;14550283,11
UTS2B	SSTR5	UTS2B_SSTR5	UROTENSIN	PMID: 31556942
COL1A1	ITGA1	COL1A1_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;10464311
COL1A1	ITGB1	COL1A1_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;7688313;7688313,105
COL1A2	ITGA1	COL1A2_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL1A2	ITGB1	COL1A2_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;9685391;
COL2A1	ITGA1	COL2A1_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL2A1	ITGB1	COL2A1_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;7688313;7688313,969
COL4A1	ITGA1	COL4A1_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;8223488
COL4A1	ITGB1	COL4A1_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;8223488
COL4A2	ITGA1	COL4A2_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot
COL4A2	ITGB1	COL4A2_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot
COL4A3	ITGA1	COL4A3_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A3	ITGB1	COL4A3_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A4	ITGA1	COL4A4_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A4	ITGB1	COL4A4_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A5	ITGA1	COL4A5_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A5	ITGB1	COL4A5_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A6	ITGA1	COL4A6_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A6	ITGB1	COL4A6_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A1	ITGA1	COL6A1_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A1	ITGB1	COL6A1_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A2	ITGA1	COL6A2_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A2	ITGB1	COL6A2_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A3	ITGA1	COL6A3_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A3	ITGB1	COL6A3_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A5	ITGA1	COL6A5_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot
COL6A5	ITGB1	COL6A5_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot
COL6A6	ITGA1	COL6A6_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot
COL6A6	ITGB1	COL6A6_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot
COL9A1	ITGA1	COL9A1_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot
COL9A1	ITGB1	COL9A1_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL9A2	ITGA1	COL9A2_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot
COL9A2	ITGB1	COL9A2_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL9A3	ITGA1	COL9A3_ITGA1	COLLAGEN	KEGG: hsa04512;uniprot
COL9A3	ITGB1	COL9A3_ITGB1	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL1A1	ITGA2	COL1A1_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;7688313;7688313,11359786,11856343,2156854
COL1A2	ITGA2	COL1A2_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;2156854
COL2A1	ITGA2	COL2A1_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;7688313
COL4A1	ITGA2	COL4A1_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;10381815;
COL4A2	ITGA2	COL4A2_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot
COL4A3	ITGA2	COL4A3_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A4	ITGA2	COL4A4_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A5	ITGA2	COL4A5_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL4A6	ITGA2	COL4A6_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A1	ITGA2	COL6A1_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A2	ITGA2	COL6A2_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A3	ITGA2	COL6A3_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot;32196115;
COL6A5	ITGA2	COL6A5_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot
COL6A6	ITGA2	COL6A6_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot
COL9A1	ITGA2	COL9A1_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot
COL9A2	ITGA2	COL9A2_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot
COL9A3	ITGA2	COL9A3_ITGA2	COLLAGEN	KEGG: hsa04512;uniprot
FN1	ITGA3	FN1_ITGA3	FN1	KEGG: hsa04512;uniprot;9733622
FN1	ITGB1	FN1_ITGB1	FN1	KEGG: hsa04512;uniprot;7626807;7626807,7688313,9842903,10772816,11010812,8120056
FN1	ITGA4	FN1_ITGA4	FN1	KEGG: hsa04512;uniprot;9842903;9842903,11010812,9117345
FN1	ITGA5	FN1_ITGA5	FN1	KEGG: hsa04512;uniprot;23154389;1532572,11423542,10772816,11801679,9211865,1694173
FN1	ITGA8	FN1_ITGA8	FN1	KEGG: hsa04512;uniprot;7626807;7626807,756
LAMA1	ITGA1	LAMA1_ITGA1	LAMININ	KEGG: hsa04512;9688542
LAMA1	ITGB1	LAMA1_ITGB1	LAMININ	KEGG: hsa04512;26198319,32196115;11278916,97
LAMA2	ITGA1	LAMA2_ITGA1	LAMININ	KEGG: hsa04512;32196115;
LAMA2	ITGB1	LAMA2_ITGB1	LAMININ	KEGG: hsa04512;11278916
LAMA3	ITGA1	LAMA3_ITGA1	LAMININ	KEGG: hsa04512
LAMA3	ITGB1	LAMA3_ITGB1	LAMININ	KEGG: hsa04512;uniprot;32196115;
LAMA4	ITGA1	LAMA4_ITGA1	LAMININ	KEGG: hsa04512
LAMA4	ITGB1	LAMA4_ITGB1	LAMININ	KEGG: hsa04512;32196115;
LAMA5	ITGA1	LAMA5_ITGA1	LAMININ	KEGG: hsa04512
LAMA5	ITGB1	LAMA5_ITGB1	LAMININ	KEGG: hsa04512;32196115;
LAMB1	ITGA1	LAMB1_ITGA1	LAMININ	KEGG: hsa04512;32196115;
LAMB1	ITGB1	LAMB1_ITGB1	LAMININ	KEGG: hsa04512;10842354
LAMB2	ITGA1	LAMB2_ITGA1	LAMININ	KEGG: hsa04512
LAMB2	ITGB1	LAMB2_ITGB1	LAMININ	KEGG: hsa04512;32196115;
LAMB3	ITGA1	LAMB3_ITGA1	LAMININ	KEGG: hsa04512
LAMB3	ITGB1	LAMB3_ITGB1	LAMININ	KEGG: hsa04512;32196115;
LAMC1	ITGA1	LAMC1_ITGA1	LAMININ	KEGG: hsa04512;32196115;
LAMC1	ITGB1	LAMC1_ITGB1	LAMININ	KEGG: hsa04512;uniprot;32196115;
LAMC2	ITGA1	LAMC2_ITGA1	LAMININ	KEGG: hsa04512
LAMC2	ITGB1	LAMC2_ITGB1	LAMININ	KEGG: hsa04512;10842354
LAMC3	ITGA1	LAMC3_ITGA1	LAMININ	KEGG: hsa04512
LAMC3	ITGB1	LAMC3_ITGB1	LAMININ	KEGG: hsa04512;32196115;
LAMA1	ITGA2	LAMA1_ITGA2	LAMININ	KEGG: hsa04512;9688542
LAMA2	ITGA2	LAMA2_ITGA2	LAMININ	KEGG: hsa04512;32196115;
LAMA3	ITGA2	LAMA3_ITGA2	LAMININ	KEGG: hsa04512
LAMA4	ITGA2	LAMA4_ITGA2	LAMININ	KEGG: hsa04512
LAMA5	ITGA2	LAMA5_ITGA2	LAMININ	KEGG: hsa04512;32196115;
LAMB1	ITGA2	LAMB1_ITGA2	LAMININ	KEGG: hsa04512;32196115;
LAMB2	ITGA2	LAMB2_ITGA2	LAMININ	KEGG: hsa04512
LAMB3	ITGA2	LAMB3_ITGA2	LAMININ	KEGG: hsa04512;32196115;
LAMC1	ITGA2	LAMC1_ITGA2	LAMININ	KEGG: hsa04512;uniprot;32196115;
LAMC2	ITGA2	LAMC2_ITGA2	LAMININ	KEGG: hsa04512;32196115;
