Lig	Rec	LigRec	pathway	evidence
BMP7	BMPR2	BMP7_BMPR2	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;7791754,15621726;7791754
BMP7	BMPR1A	BMP7_BMPR1A	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;7791754,15621726;12297674,7791754,8605097
BMP7	BMPR1B	BMP7_BMPR1B	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;15621726;10631182,86
BMP8A	ACVR1	BMP8A_ACVR1	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174
BMP8A	ACVR2A	BMP8A_ACVR2A	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174
BMP8A	ACVR2B	BMP8A_ACVR2B	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174
BMP8A	BMPR2	BMP8A_BMPR2	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;28465413,15621726;
BMP8A	BMPR1A	BMP8A_BMPR1A	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;28465413,15621726;
BMP8A	BMPR1B	BMP8A_BMPR1B	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;15621726;
BMP8B	ACVR1	BMP8B_ACVR1	BMP	KEGG: hsa04350; PMID:26893264
BMP8B	ACVR2A	BMP8B_ACVR2A	BMP	KEGG: hsa04350; PMID:26893264
BMP8B	ACVR2B	BMP8B_ACVR2B	BMP	KEGG: hsa04350; PMID:26893264
BMP8B	BMPR2	BMP8B_BMPR2	BMP	KEGG: hsa04350; PMID:26893264;32196115,15621726;
BMP8B	BMPR1A	BMP8B_BMPR1A	BMP	KEGG: hsa04350; PMID:26893264;32196115,15621726;
BMP8B	BMPR1B	BMP8B_BMPR1B	BMP	KEGG: hsa04350; PMID:26893264;32196115,15621726;
BMP10	ACVRL1	BMP10_ACVRL1	BMP10	KEGG: hsa04350; PMID:26893264; PMID: 25620979;PMID: 22710174;17068149
BMP10	BMPR2	BMP10_BMPR2	BMP10	KEGG: hsa04350; PMID:26893264; PMID: 25620979;PMID: 22710174;15621726;16049014
BMP10	ACVR2A	BMP10_ACVR2A	BMP10	KEGG: hsa04350; PMID:26893264; PMID: 25620979;16049014
GDF2	ACVRL1	GDF2_ACVRL1	BMP10	KEGG: hsa04350; PMID:26893264;PMID: 22710174;17068149
GDF2	BMPR2	GDF2_BMPR2	BMP10	KEGG: hsa04350; PMID:26893264;PMID: 22710174;28646109;15851468
GDF2	ACVR2A	GDF2_ACVR2A	BMP10	KEGG: hsa04350; PMID:26893264;22622516;19996292
GDF9	ACVR1B	GDF9_ACVR1B	GDF	KEGG: hsa04350
GDF9	BMPR2	GDF9_BMPR2	GDF	KEGG: hsa04350;PMID: 22710174;12135884
GDF10	ACVR1B	GDF10_ACVR1B	GDF	KEGG: hsa04350;PMID: 22710174;22155034;
GDF10	ACVR2A	GDF10_ACVR2A	GDF	KEGG: hsa04350
GDF11	TGFBR1	GDF11_TGFBR1	GDF	KEGG: hsa04350;PMID: 22710174
GDF11	ACVR2A	GDF11_ACVR2A	GDF	KEGG: hsa04350;PMID: 22710174;26198319,32196115;12414726
GDF11	ACVR2B	GDF11_ACVR2B	GDF	KEGG: hsa04350;PMID: 22710174;12414726;12414726,17
GDF11	ACVR1B	GDF11_ACVR1B	GDF	KEGG: hsa04350;PMID: 22710174;12414726
GDF15	TGFBR2	GDF15_TGFBR2	GDF	KEGG: hsa04350
